#,Name,Tag,Accepted rate,LeetcodeID,Leetcode Link,Desc
11,Subtract the Product and Sum of Digits of an Integer,['Math'],86.60%,1281,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer/description,"Given an integer number `n`, return the difference between the product of its digits and the sum of its digits.
 
 
 Example 1:
 Input: n = 234
 Output: 15 
 Explanation: 
 Product of digits = 2 * 3 * 4 = 24 
 Sum of digits = 2 + 3 + 4 = 9 
 Result = 24 - 9 = 15
 
 Example 2:
 Input: n = 4421
 Output: 21
 Explanation: 
 Product of digits = 4 * 4 * 2 * 1 = 32 
 Sum of digits = 4 + 4 + 2 + 1 = 11 
 Result = 32 - 11 = 21
 
 Constraints:
 `1 <= n <= 10^5`"
12,Split a String in Balanced Strings,"['String', 'Greedy', 'Counting']",86.50%,1221,https://leetcode.com/problems/split-a-string-in-balanced-strings/description,"Balanced strings are those that have an equal quantity of `'L'` and `'R'` characters.
 
 Given a balanced string `s`, split it in the maximum amount of balanced strings.
 
 Return the maximum amount of split balanced strings.
 
 
 Example 1:
 Input: s = ""RLRRLLRLRL""
 Output: 4
 Explanation: s can be split into ""RL"", ""RRLL"", ""RL"", ""RL"", each substring contains same number of 'L' and 'R'.
 
 
 Example 2:
 Input: s = ""RLLLLRRRLR""
 Output: 3
 Explanation: s can be split into ""RL"", ""LLLRRR"", ""LR"", each substring contains same number of 'L' and 'R'.
 
 
 Example 3:
 Input: s = ""LLLLRRRR""
 Output: 1
 Explanation: s can be split into ""LLLLRRRR"".
 
 
 Example 4:
 Input: s = ""RLRRRLLRLL""
 Output: 2
 Explanation: s can be split into ""RL"", ""RRRLLRLL"", since each substring contains an equal number of 'L' and 'R'
 
 Constraints:
 `1 <= s.length <= 1000`
 `s[i]` is either `'L'` or `'R'`.
 
 `s` is a balanced string."
13,Create Target Array in the Given Order,"['Array', 'Simulation']",86.10%,1389,https://leetcode.com/problems/create-target-array-in-the-given-order/description,"Given two arrays of integers `nums` and `index`. Your task is to create target array under the following rules:
 Initially target array is empty.
 
 From left to right read nums[i] and index[i], insert at index `index[i]` the value `nums[i]` in target array.
 
 Repeat the previous step until there are no elements to read in `nums` and `index.`
 Return the target array.
 
 It is guaranteed that the insertion operations will be valid.
 
 
 Example 1:
 Input: nums = [0,1,2,3,4], index = [0,1,2,2,1]
 Output: [0,4,1,3,2]
 Explanation:
 nums index target
 0 0 [0]
 1 1 [0,1]
 2 2 [0,1,2]
 3 2 [0,1,3,2]
 4 1 [0,4,1,3,2]
 
 Example 2:
 Input: nums = [1,2,3,4,0], index = [0,1,2,3,0]
 Output: [0,1,2,3,4]
 Explanation:
 nums index target
 1 0 [1]
 2 1 [1,2]
 3 2 [1,2,3]
 4 3 [1,2,3,4]
 0 0 [0,1,2,3,4]
 
 Example 3:
 Input: nums = [1], index = [0]
 Output: [1]
 
 Constraints:
 `1 <= nums.length, index.length <= 100`
 `nums.length == index.length`
 `0 <= nums[i] <= 100`
 `0 <= index[i] <= i`"
14,Decompress Run-Length Encoded List,['Array'],85.90%,1313,https://leetcode.com/problems/decompress-run-length-encoded-list/description,"We are given a list `nums` of integers representing a list compressed with run-length encoding.
 
 Consider each adjacent pair of elements `[freq, val] = [nums[2*i], nums[2*i+1]]` (with `i >= 0`). For each such pair, there are `freq` elements with value `val` concatenated in a sublist. Concatenate all the sublists from left to right to generate the decompressed list.
 
 Return the decompressed list.
 
 
 Example 1:
 Input: nums = [1,2,3,4]
 Output: [2,4,4,4]
 Explanation: The first pair [1,2] means we have freq = 1 and val = 2 so we generate the array [2].
 
 The second pair [3,4] means we have freq = 3 and val = 4 so we generate [4,4,4].
 
 At the end the concatenation [2] + [4,4,4] is [2,4,4,4].
 
 
 Example 2:
 Input: nums = [1,1,2,3]
 Output: [1,3,3]
 
 Constraints:
 `2 <= nums.length <= 100`
 `nums.length % 2 == 0`
 `1 <= nums[i] <= 100`"
15,Count of Matches in Tournament,"['Math', 'Simulation']",85.70%,1688,https://leetcode.com/problems/count-of-matches-in-tournament/description,"You are given an integer `n`, the number of teams in a tournament that has strange rules:
 If the current number of teams is even, each team gets paired with another team. A total of `n / 2` matches are played, and `n / 2` teams advance to the next round.
 
 If the current number of teams is odd, one team randomly advances in the tournament, and the rest gets paired. A total of `(n - 1) / 2` matches are played, and `(n - 1) / 2 + 1` teams advance to the next round.
 
 Return the number of matches played in the tournament until a winner is decided.
 
 
 Example 1:
 Input: n = 7
 Output: 6
 Explanation: Details of the tournament: 
 - 1st Round: Teams = 7, Matches = 3, and 4 teams advance.
 
 - 2nd Round: Teams = 4, Matches = 2, and 2 teams advance.
 
 - 3rd Round: Teams = 2, Matches = 1, and 1 team is declared the winner.
 
 Total number of matches = 3 + 2 + 1 = 6.
 
 
 Example 2:
 Input: n = 14
 Output: 13
 Explanation: Details of the tournament:
 - 1st Round: Teams = 14, Matches = 7, and 7 teams advance.
 
 - 2nd Round: Teams = 7, Matches = 3, and 4 teams advance.
 
 - 3rd Round: Teams = 4, Matches = 2, and 2 teams advance.
 
 - 4th Round: Teams = 2, Matches = 1, and 1 team is declared the winner.
 
 Total number of matches = 7 + 3 + 2 + 1 = 13.
 
 
 Constraints:
 `1 <= n <= 200`"
16,Truncate Sentence,"['Array', 'String']",85.70%,1816,https://leetcode.com/problems/truncate-sentence/description,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each of the words consists of only uppercase and lowercase English letters (no punctuation).
 
 For example, `""Hello World""`, `""HELLO""`, and `""hello world hello world""` are all sentences.
 
 You are given a sentence `s`​​​​​​ and an integer `k`​​​​​​. You want to truncate `s`​​​​​​ such that it contains only the first `k`​​​​​​ words. Return `s`​​​​​​ after truncating it.
 
 
 Example 1:
 Input: s = ""Hello how are you Contestant"", k = 4
 Output: ""Hello how are you""
 Explanation:
 The words in s are [""Hello"", ""how"" ""are"", ""you"", ""Contestant""].
 
 The first 4 words are [""Hello"", ""how"", ""are"", ""you""].
 
 Hence, you should return ""Hello how are you"".
 
 
 Example 2:
 Input: s = ""What is the solution to this problem"", k = 4
 Output: ""What is the solution""
 Explanation:
 The words in s are [""What"", ""is"" ""the"", ""solution"", ""to"", ""this"", ""problem""].
 
 The first 4 words are [""What"", ""is"", ""the"", ""solution""].
 
 Hence, you should return ""What is the solution"".
 
 
 Example 3:
 Input: s = ""chopper is not a tanuki"", k = 5
 Output: ""chopper is not a tanuki""
 
 Constraints:
 `1 <= s.length <= 500`
 `k` is in the range `[1, the number of words in s]`.
 
 `s` consist of only lowercase and uppercase English letters and spaces.
 
 The words in `s` are separated by a single space.
 
 There are no leading or trailing spaces."
17,Check If Two String Arrays are Equivalent,"['Array', 'String']",85.60%,1662,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/description,"Given two string arrays `word1` and `word2`, return `true` if the two arrays represent the same string, and `false` otherwise.
 
 A string is represented by an array if the array elements concatenated in order forms the string.
 
 
 Example 1:
 Input: word1 = [""ab"", ""c""], word2 = [""a"", ""bc""]
 Output: true
 Explanation:
 word1 represents string ""ab"" + ""c"" -> ""abc""
 word2 represents string ""a"" + ""bc"" -> ""abc""
 The strings are the same, so return true.
 
 
 Example 2:
 Input: word1 = [""a"", ""cb""], word2 = [""ab"", ""c""]
 Output: false
 
 Example 3:
 Input: word1 = [""abc"", ""d"", ""defg""], word2 = [""abcddefg""]
 Output: true
 
 Constraints:
 `1 <= word1.length, word2.length <= 103`
 `1 <= word1[i].length, word2[i].length <= 103`
 `1 <= sum(word1[i].length), sum(word2[i].length) <= 103`
 `word1[i]` and `word2[i]` consist of lowercase letters."
18,Shuffle String,"['Array', 'String']",84.90%,1528,https://leetcode.com/problems/shuffle-string/description,"Given a string `s` and an integer array `indices` of the same length.
 
 The string `s` will be shuffled such that the character at the `ith` position moves to `indices[i]` in the shuffled string.
 
 Return the shuffled string.
 
 
 Example 1:
 Input: s = ""codeleet"", `indices` = [4,5,6,7,0,2,1,3]
 Output: ""leetcode""
 Explanation: As shown, ""codeleet"" becomes ""leetcode"" after shuffling.
 
 
 Example 2:
 Input: s = ""abc"", `indices` = [0,1,2]
 Output: ""abc""
 Explanation: After shuffling, each character remains in its position.
 
 
 Example 3:
 Input: s = ""aiohn"", `indices` = [3,1,4,2,0]
 Output: ""nihao""
 
 Example 4:
 Input: s = ""aaiougrt"", `indices` = [4,0,2,6,7,3,1,5]
 Output: ""arigatou""
 
 Example 5:
 Input: s = ""art"", `indices` = [1,0,2]
 Output: ""rat""
 
 Constraints:
 `s.length == indices.length == n`
 `1 <= n <= 100`
 `s` contains only lower-case English letters.
 
 `0 <= indices[i] < n`
 All values of `indices` are unique (i.e. `indices` is a permutation of the integers from `0` to `n - 1`)."
19,Count Items Matching a Rule,"['Array', 'String']",84.70%,1773,https://leetcode.com/problems/count-items-matching-a-rule/description,"You are given an array `items`, where each `items[i] = [typei, colori, namei]` describes the type, color, and name of the `ith` item. You are also given a rule represented by two strings, `ruleKey` and `ruleValue`.
 
 The `ith` item is said to match the rule if one of the following is true:
 `ruleKey == ""type""` and `ruleValue == typei`.
 
 `ruleKey == ""color""` and `ruleValue == colori`.
 
 `ruleKey == ""name""` and `ruleValue == namei`.
 
 Return the number of items that match the given rule.
 
 
 Example 1:
 Input: items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""
 Output: 1
 Explanation: There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].
 
 
 Example 2:
 Input: items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""
 Output: 2
 Explanation: There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.
 
 
 Constraints:
 `1 <= items.length <= 104`
 `1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10`
 `ruleKey` is equal to either `""type""`, `""color""`, or `""name""`.
 
 All strings consist only of lowercase letters."
20,Design an Ordered Stream,"['Array', 'Hash Table', 'Design', '1+']",84.40%,1656,https://leetcode.com/problems/design-an-ordered-stream/description,"There is a stream of `n` `(idKey, value)` pairs arriving in an arbitrary order, where `idKey` is an integer between `1` and `n` and `value` is a string. No two pairs have the same `id`.
 
 Design a stream that returns the values in increasing order of their IDs by returning a chunk (list) of values after each insertion. The concatenation of all the chunks should result in a list of the sorted values.
 
 Implement the `OrderedStream` class:
 `OrderedStream(int n)` Constructs the stream to take `n` values.
 
 `String[] insert(int idKey, String value)` Inserts the pair `(idKey, value)` into the stream, then returns the largest possible chunk of currently inserted values that appear next in the order.
 
 
 Example:
 Input
 [""OrderedStream"", ""insert"", ""insert"", ""insert"", ""insert"", ""insert""]
 [[5], [3, ""ccccc""], [1, ""aaaaa""], [2, ""bbbbb""], [5, ""eeeee""], [4, ""ddddd""]]
 Output
 [null, [], [""aaaaa""], [""bbbbb"", ""ccccc""], [], [""ddddd"", ""eeeee""]]
 Explanation
 // Note that the values ordered by ID is [""aaaaa"", ""bbbbb"", ""ccccc"", ""ddddd"", ""eeeee""].
 
 OrderedStream os = new OrderedStream(5);
 os.insert(3, ""ccccc""); // Inserts (3, ""ccccc""), returns [].
 
 os.insert(1, ""aaaaa""); // Inserts (1, ""aaaaa""), returns [""aaaaa""].
 
 os.insert(2, ""bbbbb""); // Inserts (2, ""bbbbb""), returns [""bbbbb"", ""ccccc""].
 
 os.insert(5, ""eeeee""); // Inserts (5, ""eeeee""), returns [].
 
 os.insert(4, ""ddddd""); // Inserts (4, ""ddddd""), returns [""ddddd"", ""eeeee""].
 
 // Concatentating all the chunks returned:
 // [] + [""aaaaa""] + [""bbbbb"", ""ccccc""] + [] + [""ddddd"", ""eeeee""] = [""aaaaa"", ""bbbbb"", ""ccccc"", ""ddddd"", ""eeeee""]
 // The resulting order is the same as the order above.
 
 
 Constraints:
 `1 <= n <= 1000`
 `1 <= id <= n`
 `value.length == 5`
 `value` consists only of lowercase letters.
 
 Each call to `insert` will have a unique `id.`
 Exactly `n` calls will be made to `insert`."
21,To Lower Case,['String'],83.80%,709,https://leetcode.com/problems/to-lower-case/description,"Implement function ToLowerCase() that has a string parameter str, and returns the same string in lowercase.
 
 
 Example 1:
 Input: ""Hello""
 Output: ""hello""
 
 Example 2:
 Input: ""here""
 Output: ""here""
 
 Example 3:
 Input: ""LOVELY""
 Output: ""lovely"""
22,Find Anagram Mappings,"['Array', 'Hash Table']",83.70%,760,https://leetcode.com/problems/find-anagram-mappings/description,"Given two lists `A`and `B`, and `B` is an anagram of `A`. `B` is an anagram of `A` means `B` is made by randomizing the order of the elements in `A`.
 
 We want to find an index mapping `P`, from `A` to `B`. A mapping `P[i] = j` means the `i`th element in `A` appears in `B` at index `j`.
 
 These lists `A` and `B` may contain duplicates. If there are multiple answers, output any of them.
 
 For example, given
 A = [12, 28, 46, 32, 50]
 B = [50, 12, 32, 46, 28]
 We should return
 [1, 4, 3, 2, 0]
 as `P[0] = 1` because the `0`th element of `A` appears at `B[1]`,
 and `P[1] = 4` because the `1`st element of `A` appears at `B[4]`,
 and so on.
 
 Note:
 `A, B` have equal lengths in range `[1, 100]`.
 
 `A[i], B[i]` are integers in range `[0, 10^5]`."
23,Find the Highest Altitude,"['Array', 'Prefix Sum']",83.60%,1732,https://leetcode.com/problems/find-the-highest-altitude/description,"There is a biker going on a road trip. The road trip consists of `n + 1` points at different altitudes. The biker starts his trip on point `0` with altitude equal `0`.
 
 You are given an integer array `gain` of length `n` where `gain[i]` is the net gain in altitude between points `i`​​​​​​ and `i + 1` for all (`0 <= i < n)`. Return the highest altitude of a point.
 
 
 Example 1:
 Input: gain = [-5,1,5,0,-7]
 Output: 1
 Explanation: The altitudes are [0,-5,-4,1,1,-6]. The highest is 1.
 
 
 Example 2:
 Input: gain = [-4,-3,-2,-1,4,3,2]
 Output: 0
 Explanation: The altitudes are [0,-4,-7,-9,-10,-6,-3,-1]. The highest is 0.
 
 
 Constraints:
 `n == gain.length`
 `1 <= n <= 100`
 `-100 <= gain[i] <= 100`"
24,Matrix Diagonal Sum,"['Array', 'Matrix']",83.30%,1572,https://leetcode.com/problems/matrix-diagonal-sum/description,"Given a square matrix `mat`, return the sum of the matrix diagonals.
 
 Only include the sum of all the elements on the primary diagonal and all the elements on the secondary diagonal that are not part of the primary diagonal.
 
 
 Example 1:
 Input: mat = [[1,2,3],
  [4,5,6],
  [7,8,9]]
 Output: 25
 Explanation: Diagonals sum: 1 + 5 + 9 + 3 + 7 = 25
 Notice that element mat[1][1] = 5 is counted only once.
 
 
 Example 2:
 Input: mat = [[1,1,1,1],
  [1,1,1,1],
  [1,1,1,1],
  [1,1,1,1]]
 Output: 8
 
 Example 3:
 Input: mat = [[5]]
 Output: 5
 
 Constraints:
 `n == mat.length == mat[i].length`
 `1 <= n <= 100`
 `1 <= mat[i][j] <= 100`"
25,Sum of All Odd Length Subarrays,"['Array', 'Math', 'Prefix Sum']",83.30%,1588,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/description,"Given an array of positive integers `arr`, calculate the sum of all possible odd-length subarrays.
 
 A subarray is a contiguous subsequence of the array.
 
 Return the sum of all odd-length subarrays of `arr`.
 
 
 Example 1:
 Input: arr = [1,4,2,5,3]
 Output: 58
 Explanation: The odd-length subarrays of arr and their sums are:
 [1] = 1
 [4] = 4
 [2] = 2
 [5] = 5
 [3] = 3
 [1,4,2] = 7
 [4,2,5] = 11
 [2,5,3] = 10
 [1,4,2,5,3] = 15
 If we add all these together we get 1 + 4 + 2 + 5 + 3 + 7 + 11 + 10 + 15 = 58
 
 Example 2:
 Input: arr = [1,2]
 Output: 3
 Explanation: There are only 2 subarrays of odd length, [1] and [2]. Their sum is 3.
 
 
 Example 3:
 Input: arr = [10,11,12]
 Output: 66
 
 Constraints:
 `1 <= arr.length <= 100`
 `1 <= arr[i] <= 1000`"
26,Unique Morse Code Words,"['Array', 'Hash Table', 'String']",83.00%,804,https://leetcode.com/problems/unique-morse-code-words/description,"International Morse Code defines a standard encoding where each letter is mapped to a series of dots and dashes, as follows: `""a""` maps to `"".-""`, `""b""` maps to `""-...""`, `""c""` maps to `""-.-.""`, and so on.
 
 For convenience, the full table for the 26 letters of the English alphabet is given below:
 ["".-"",""-..."",""-.-."",""-.."",""."",""..-."",""--."",""...."","".."","".---"",""-.-"","".-.."",""--"",""-."",""---"","".--."",""--.-"","".-."",""..."",""-"",""..-"",""...-"","".--"",""-..-"",""-.--"",""--..""]
 Now, given a list of words, each word can be written as a concatenation of the Morse code of each letter. For example, ""cab"" can be written as ""-.-..--..."", (which is the concatenation ""-.-."" + "".-"" + ""`-...`""). We'll call such a concatenation, the transformation of a word.
 
 Return the number of different transformations among all words we have.
 
 
 Example:
 Input: words = [""gin"", ""zen"", ""gig"", ""msg""]
 Output: 2
 Explanation: 
 The transformation of each word is:
 ""gin"" -> ""--...-.""
 ""zen"" -> ""--...-.""
 ""gig"" -> ""--...--.""
 ""msg"" -> ""--...--.""
 There are 2 different transformations, ""--...-."" and ""--...--."".
 
 Note:
 The length of `words` will be at most `100`.
 
 Each `words[i]` will have length in range `[1, 12]`.
 
 `words[i]` will only consist of lowercase letters."
27,Maximum Product of Two Elements in an Array,"['Array', 'Sorting', 'Heap (Priority Queue)']",83.00%,1464,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/description,"Given the array of integers `nums`, you will choose two different indices `i` and `j` of that array. Return the maximum value of `(nums[i]-1)*(nums[j]-1)`.
 
 
 Example 1:
 Input: nums = [3,4,5,2]
 Output: 12 
 Explanation: If you choose the indices i=1 and j=2 (indexed from 0), you will get the maximum value, that is, (nums[1]-1)*(nums[2]-1) = (4-1)*(5-1) = 3*4 = 12. 
 
 Example 2:
 Input: nums = [1,5,4,5]
 Output: 16
 Explanation: Choosing the indices i=1 and j=3 (indexed from 0), you will get the maximum value of (5-1)*(5-1) = 16.
 
 
 Example 3:
 Input: nums = [3,7]
 Output: 12
 
 Constraints:
 `2 <= nums.length <= 500`
 `1 <= nums[i] <= 10^3`"
